Time (sec),Axis0 Target Position (m),Axis0 Actual Position (m),Axis0 Target Velocity (m/s),Axis0 Actual Velocity (m/s),Axis0 Control Output (%),Axis0 Status Bits
0,10,10,0,-0.019528102,0.359067589,16#0C202241
0.001,10,10,0,-0.015479493,0.358902603,16#0C202241
0.002,10,9.9999609,0,-0.009148845,0.359291047,16#0C202241
0.003,10,9.9999609,0,-0.0025589,0.359506309,16#0C202241
0.004,10,10,0,0.001680715,0.359152675,16#0C202241
0.005,10,9.99984264,0,0.002395571,0.360881448,16#0C202241
0.006,10,9.9999218,0,-0.000906709,0.360871494,16#0C202241
0.007,10,9.99988174,0,-0.007908857,0.361370265,16#0C202241
0.008,10,9.9999218,0,-0.015570039,0.361172557,16#0C202241
0.009,10,9.99984264,0,-0.019997563,0.362047613,16#0C202241
0.01,10,9.99980354,0,-0.020476569,0.363023162,16#0C202241
0.011,10,9.99988174,0,-0.019273872,0.362630993,16#0C202241
0.012,10,9.99988174,0,-0.017410055,0.36244604,16#0C202241
0.013,10,9.99980354,0,-0.013742891,0.363324523,16#0C202241
0.014,10,9.99976349,0,-0.00914776,0.36432153,16#0C202241
0.015,10,9.99980354,0,-0.007094252,0.364413887,16#0C202241
0.016,10,9.99984264,0,-0.008583389,0.364026994,16#0C202241
0.017,10,9.99980354,0,-0.010425322,0.364329308,16#0C202241
0.018,10,9.99980354,0,-0.009659357,0.364530861,16#0C202241
0.019,10,9.99972439,0,-0.00705699,0.365643203,16#0C202241
0.02,10,9.99984264,0,-0.005276342,0.36485225,16#0C202241
0.021,10,9.99980354,0,-0.004786336,0.364938945,16#0C202241
0.022,10,9.99976349,0,-0.003815014,0.365513563,16#0C202241
0.023,10,9.99976349,0,-0.002206641,0.365868628,16#0C202241
0.024,10,9.99972439,0,-0.001979548,0.366583019,16#0C202241
0.025,10,9.99972439,0,-0.004420538,0.367020667,16#0C202241
0.026,10,9.99964619,0,-0.009215698,0.368263572,16#0C202241
0.027,10,9.99972439,0,-0.01518127,0.368046343,16#0C202241
0.028,10,9.99972439,0,-0.019888137,0.367986947,16#0C202241
0.029,10,9.99964619,0,-0.020507203,0.368964702,16#0C202241
0.03,10,9.99968529,0,-0.017045431,0.369082451,16#0C202241
0.031,10,9.99960613,0,-0.012586087,0.370174319,16#0C202241
0.032,10,9.99964619,0,-0.009990991,0.370349556,16#0C202241
0.033,10,9.99956703,0,-0.010203798,0.371480137,16#0C202241
0.034,10,9.99960613,0,-0.012658619,0.371695608,16#0C202241
0.035,10,9.99964619,0,-0.015511745,0.371403337,16#0C202241
0.036,10,9.99944878,0,-0.016732737,0.373725384,16#0C202241
0.037,10,9.99960613,0,-0.016712546,0.373159885,16#0C202241
0.038,10,9.99956703,0,-0.016768316,0.37341544,16#0C202241
0.039,10,9.99956703,0,-0.015611027,0.373640597,16#0C202241
0.04,10,9.99952793,0,-0.011919877,0.374325931,16#0C202241
0.041,10,9.99952793,0,-0.007433679,0.374788374,16#0C202241
0.042,10,9.99944878,0,-0.005063529,0.376096427,16#0C202241
0.043,10,9.99948788,0,-0.006532227,0.376430899,16#0C202241
0.044,10,9.99948788,0,-0.011077167,0.376714349,16#0C202241
0.045,10,9.99944878,0,-0.015649207,0.377447069,16#0C202241
0.046,10,9.99944878,0,-0.017768947,0.377951056,16#0C202241
0.047,10,9.99944878,0,-0.01730004,0.378332973,16#0C202241
0.048,10,9.99944878,0,-0.015064313,0.378649801,16#0C202241
0.049,10,9.99940968,0,-0.011850819,0.37940833,16#0C202241
0.05,10,9.99940968,0,-0.008897979,0.379934043,16#0C202241
0.051,10,9.99937057,0,-0.0076369,0.380812049,16#0C202241
0.052,10,9.99940968,0,-0.008511363,0.380933106,16#0C202241
0.053,10,9.99937057,0,-0.010419616,0.381595224,16#0C202241
0.054,10,9.99940968,0,-0.01157123,0.381601095,16#0C202241
0.055,10,9.99933052,0,-0.011042887,0.382689863,16#0C202241
0.056,10,9.99929142,0,-0.009924534,0.38388443,16#0C202241
0.057,10,9.99933052,0,-0.01049377,0.384190619,16#0C202241
0.058,10,9.99933052,0,-0.013087622,0.384491295,16#0C202241
0.059,10,9.99929142,0,-0.015316614,0.38526544,16#0C202241
0.06,10,9.99933052,0,-0.015216073,0.385347366,16#0C202241
0.061,10,9.99921322,0,-0.013208699,0.386957735,16#0C202241
0.062,10,9.99929142,0,-0.011309398,0.387025326,16#0C202241
0.063,10,9.99921322,0,-0.011120248,0.388159603,16#0C202241
0.064,10,9.99925232,0,-0.012398942,0.388449669,16#0C202241
0.065,10,9.99933052,0,-0.013289857,0.387804896,16#0C202241
0.066,10,9.99921322,0,-0.011458798,0.389027566,16#0C202241
0.067,10,9.99921322,0,-0.007012355,0.389841229,16#0C202241
0.068,10,9.99925232,0,-0.003312864,0.389960259,16#0C202241
0.069,10,9.99921322,0,-0.002547861,0.390653551,16#0C202241
0.07,10,9.99921322,0,-0.00380974,0.391184807,16#0C202241
0.071,10,9.99917316,0,-0.005881303,0.392117649,16#0C202241
0.072,10,9.99917316,0,-0.008516052,0.392784894,16#0C202241
